target
292.83
295.45
295.45
295.45
295.54
295.54
296.18
296.18
296.18
296.18
296.18
296.18
296.35
296.35
296.35
296.35
296.35
296.35
296.35
296.35
296.35
296.35
296.35
296.49
297.09
297.09
297.09
297.09
281.15
281.15
281.15
281.15
281.15
281.15
281.15
281.1
281.1
281.1
281.1
281.1
281.1
281.1
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
281.13
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.87
280.86
280.86
280.86
280.86
280.86
280.86
280.86
280.86
280.8
280.8
280.8
